Name,Day,Time,Video,Desc,Categories,Email,Phone,Time_dt,Time_del,Label_Audio,Label_Open,Label_Video,Label_Forum,Label_Big Book,Label_Discussion,Label_Speaker,Label_Closed,Label_Telephone,Label_Women,Label_Loners / Isolationists,Label_Chat,Label_LGBTQIAA+,Label_Young People,Label_Men,Label_Secular,Label_Steps / Traditions,Label_Game,Label_Blind / Visually Impaired,Label_Deaf / Hard of Hearing,Label_Email,Label_Professionals,Label_Meditation,Label_Seniors,Label_Newcomer,Label_24/7,Zoom
1 Hole in the Sky AA Meetings: AA Secular Daily Reflections,Tuesday,5:00 pm,https://zoom.us/j/414948190,Tuesday: AA Secular Daily Reflections 3:00pm PST - Meeting ID: 414-948-190 Zoom Room Link: https://zoom.us/j/41494819,"Audio,Open,Video",,,17:00:00,0 days 17:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
AA Friends,Tuesday,5:00 pm,https://aafriends.webs.com/,"AA Friends currently holds three online meetings, two Topic Discussion meetings on Saturdays at 8 am and 8 pm and a Big Book Study/Discussion meeting on Tuesdays at 6 PM Eastern US time.","Forum,Open",aafriends@usa.com,,17:00:00,0 days 17:00:00.000000000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
AA New Beginnings,Tuesday,5:00 pm,https://us02web.zoom.us/j/5662326551,"A daily meeting that focuses on experience, strength, and hope. We read AA approved literature, the Big Book and the 12 and 12, Daily Reflections cover to cover. We are open 7 days a week Mon-Sun at 3pm est. Everyone is welcome.","Audio,Big Book,Discussion,Open,Video",AANewBeginnings230@gmail.com,,17:00:00,0 days 17:00:00.000000000,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Agnes Water,Tuesday,5:00 pm,https://us02web.zoom.us/j/8983968244,PW billw,"Big Book,Discussion,Speaker,Video",agneswaterxa@gmail.com,,17:00:00,0 days 17:00:00.000000000,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Beginners AA meeting,Tuesday,5:00 pm,https://us02web.zoom.us/j/88198562544?pwd=wfzmvvpvwjdsts9haextu3jxv3hsqt09,"Zoom Passcode, if any: serenity","Big Book,Discussion,Open,Speaker,Video",liaazoom2020@gmail.com,,17:00:00,0 days 17:00:00.000000000,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Inside Issues,Tuesday,5:00 pm,https://us02web.zoom.us/j/76700929487,"Zoom Passcode, if any: healing","Audio,Discussion,Open,Video",radfordhall4343@gmail.com,,17:00:00,0 days 17:00:00.000000000,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
It Works It Really Does Women’s Big Book,Tuesday,5:00 pm,https://us02web.zoom.us/j/6732490989,"Zoom Passcode, if any: 314314","Big Book,Closed,Discussion,Telephone,Video,Women",itworksonzoom@gmail.com,6465588656,17:00:00,0 days 17:00:00.000000000,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ladies AA Meeting,Tuesday,5:00 pm,http://ladies-aa-meeting.wix.com/ladies-aa-meeting,To attend the meeting please send a friend request to Ladies AA Meeting on skype and then wait to be called into the meeting.,"Closed,Loners / Isolationists,Video,Women",ladies_aa_meeting@btinternet.com,,17:00:00,0 days 17:00:00.000000000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Rule 62 Telephone Meeting: Big Book,Tuesday,5:00 pm,,*The phone: 712-432-3900 *Access Code: 494179#,"Audio,Loners / Isolationists,Open",rule62meeting@yahoo.com,,17:00:00,0 days 17:00:00.000000000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Serenity Sisters Virtual,Tuesday,5:00 pm,https://us02web.zoom.us/j/83017099761,Passcode: 020234,"Video,Women",SerenitySisterVirtual@gmail.com,,17:00:00,0 days 17:00:00.000000000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
